track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,popularity,decade
Where Did Our Love Go,The supremes,spotify:track:69RH84na5iUNwrwxpgjC5j,0.14801015285108332,-0.35445339149210536,-1.474887584914898,-0.12154658181312439,0.6649977355446168,-0.36643800879333627,1.2592610398524473,-0.5086711752773018,-0.6338895237253619,1.1392276154912269,0.5360245526836985,-0.6854147808458789,0.25138562771624845,-0.9867050720752333,-0.3028821982788652,1.0000729971410425,60s
Inolvidable,Tito rodriguez,spotify:track:4WWYBTpa9J6A7RZht1LtzW,-1.5898380236362026,-0.7977970316153123,-0.06046708714521829,0.11512476260146466,0.6649977355446168,-0.46515440240537836,1.10582516991937,-0.5085163226084418,-0.47141923699907584,-0.5889739590393668,-1.2988645132407621,-0.3448193223374899,0.25138562771624845,-0.6119031480146837,0.10762963139327276,-0.999927008187151,60s
Hip City - Pt. 2,Jr. walker & the all stars,spotify:track:0cduoX64cRfzLvdapbCsBH,0.4010948387472903,0.4213979787235072,-1.474887584914898,-0.08012438947325988,-1.503764519109264,-0.25726929115178376,-0.7029476814070962,-0.504467749002164,1.0318645547743899,0.593085992371169,0.9532931653942559,-0.4783004645169869,0.25138562771624845,3.0235170429869243,-0.7133940279510032,1.0000729971410425,60s
How Sweet It Is To Be Loved By You,Marvin gaye,spotify:track:2zF8ro2hX0aEYaqXQdEKW1,0.6373072122504169,-0.35445339149210536,-1.474887584914898,0.021736547144315783,0.6649977355446168,-0.3734062248130098,-0.12166178954524651,-0.5087043532852894,-0.6841917121423972,1.573148357148259,-0.3139085167906476,-0.47998158721446166,0.25138562771624845,0.280729394134609,-0.5081381131149342,1.0000729971410425,60s
For Once In My Life,Tony bennett,spotify:track:4UywFB7lROzFHNj7JLoWst,-1.8935396467116508,-0.8096723076900412,-1.474887584914898,0.2712111146457716,0.6649977355446168,-0.44541112368297,1.4687600161072254,-0.5085568478813562,-0.37312760446004145,-1.1987074149884724,-1.6288098229619006,-0.40645768604040244,0.25138562771624845,-0.1858539271863638,-0.3028821982788652,1.0000729971410425,60s
When the World Ends / Epitaph / Farewell and Thanksgiving,Mark van doren,spotify:track:5EEiumR4AX4HS49HkbZBKa,1.0197462931602401,-1.751777542951856,-1.192003485360962,-2.369453647020583,0.6649977355446168,10.208991170397907,1.6812096821684093,-0.5083884867881916,-0.42516435109835377,-0.17749739367493975,-1.1300257145052188,-1.0759900171501928,0.25138562771624845,1.1540911259524627,-1.3291617724592102,-0.999927008187151,60s
Si Tuviera Tu Amor,La sonora matancera,spotify:track:0zN3hKYeFGdu1MzPjZKUVA,0.3223573809129148,-0.8492565612724704,-0.909119385807026,-0.3407076358294977,-1.503764519109264,0.0748823391193227,0.27668133431947284,-0.5087179605517232,1.3672124775546244,0.8960823723213382,0.2967016553919572,-0.6366622226191105,0.25138562771624845,0.6851828063828042,-0.5081381131149342,-0.999927008187151,60s
Russell And Eliot,Yusef lateef,spotify:track:4UQSW8KVwb7EH7mwwy26BD,0.1086414239338962,-0.671127420151539,1.0710693110705254,-0.6796164822465698,-1.503764519109264,-0.2723670925277431,-0.413780080379374,2.061177394995733,-0.8137053926644188,0.28260822032346505,0.7160665772258343,0.48980766327781067,0.25138562771624845,0.261661146447602,0.9286532907375487,-0.999927008187151,60s
Thamizh Engal Uyiranathu,P. susheela,spotify:track:0kbPUGzB6rZ7xLLmwD4xwk,-0.36378332307235683,-0.4177881972239922,-0.6262352862530901,-0.6920431399485292,0.6649977355446168,2.323293374800659,0.3652020285116326,-0.4922113249987839,-0.728133853748083,1.5806297492457941,-0.9921160667694694,0.35419149527252075,0.25138562771624845,-0.3068901055333892,0.10762963139327276,-0.999927008187151,60s
For What It's Worth,The staple singers,spotify:track:4la9jiqXYHQlEwbRhqYsd7,1.2559586666633666,0.16410033043771718,-0.909119385807026,0.059016520250193806,0.6649977355446168,-0.4128927822578266,0.8579672261813226,-0.5087179605517232,-0.2517085289706462,1.0569323024183412,-0.5507914477257385,-0.7611745752075796,0.25138562771624845,-0.3630110069125153,-0.9186499427870721,1.0000729971410425,60s
